text,intent,language
What year did Leicester City win the Premier League,trivia_history,en
ใครยิงประตูให้ลิเวอร์พูลมากที่สุดตลอดกาล,trivia_history,th
อาร์เซนอลไม่แพ้ทั้งฤดูกาลปีไหน,trivia_history,th
Who is Liverpool's all-time top scorer,trivia_history,en
Who scored the fastest hat-trick in Premier League history,trivia_history,en
ทีมไหนเคยตกชั้นแล้วเลื่อนชั้นกลับมาเร็วที่สุด,trivia_history,th
เลสเตอร์ ซิตี้ แชมป์พรีเมียร์ลีกปีไหน,trivia_history,th
ใครเป็นกัปตันทีมชาติอังกฤษในบอลโลกปี 1966,trivia_history,th
ทีมไหนเคยคว้าดับเบิลแชมป์มากที่สุดในอังกฤษ,trivia_history,th
Who won the Ballon d'Or in 2008,trivia_history,en
ใครเป็นผู้เล่นที่ยิงแฮตทริกเร็วที่สุดในพรีเมียร์ลีก,trivia_history,th
Which is the oldest club in the Premier League,trivia_history,en
Who invented the offside trap tactic,trivia_history,en
How many people can Old Trafford stadium hold,trivia_history,en
Which club has won the most FA Cup titles,trivia_history,en
What's the record for most Premier League titles by a single club,trivia_history,en
คริสเตียโน โรนัลโด้ ย้ายมาแมนยูปีไหน,trivia_history,th
สโมสรไหนก่อตั้งเก่าแก่ที่สุดในพรีเมียร์ลีก,trivia_history,th
Who is the all-time top scorer in Premier League history,trivia_history,en
แชมป์พรีเมียร์ลีกฤดูกาล 2015/16 คือทีมไหน,trivia_history,th
When did Cristiano Ronaldo first join Manchester United,trivia_history,en
Which player has the most Premier League appearances,trivia_history,en
ใครคือผู้ทำประตูสูงสุดตลอดกาลของพรีเมียร์ลีก,trivia_history,th
Who was England's captain in the 1966 World Cup,trivia_history,en
ใครเป็นผู้จัดการทีมที่คุมแมนยูนานที่สุด,trivia_history,th
สนามโอลด์แทรฟฟอร์ดจุคนได้กี่คน,trivia_history,th
Which season did Arsenal go unbeaten,trivia_history,en
ใครได้บัลลงดอร์ปี 2008,trivia_history,th
สโมสรไหนคว้าแชมป์เอฟเอคัพมากที่สุด,trivia_history,th
Which manager has the longest tenure at Manchester United,trivia_history,en
ผลเสมอกี่ประตูระหว่างสเปอร์สกับอาร์เซนอล,match_result,th
Who won the match between West Ham and Everton,match_result,en
What was the score between Arsenal and Chelsea last night,match_result,en
ผลบอลพรีเมียร์ลีกเมื่อคืนเป็นยังไงบ้าง,match_result,th
Did Manchester United win their last match,match_result,en
How did Chelsea perform in their most recent fixture,match_result,en
What happened in the Liverpool vs Man City game,match_result,en
ผลการแข่งขันแมตช์วีค 5 ของหงส์เป็นยังไง,match_result,th
What happened in the matchweek 5 fixture for Tottenham,match_result,en
What was the result of yesterday's Spurs match,match_result,en
สกอร์เกมนิวคาสเซิลกับเวสต์แฮมเมื่อวานเท่าไหร่,match_result,th
ใครยิงประตูชัยให้สิงห์บลู,match_result,th
Was there a red card in the Chelsea match,match_result,en
อาร์เซนอลชนะเชลซีกี่ประตู,match_result,th
What was the halftime score in the Arsenal match,match_result,en
ลิเวอร์พูลแพ้แมนซิตี้เมื่อไหร่,match_result,th
ผลบอลนัดล่าสุดของสเปอร์สเป็นยังไง,match_result,th
What's the latest match result for Manchester City,match_result,en
เชลซีชนะหรือแพ้นัดล่าสุด,match_result,th
แมนยูเจอใครสุดสัปดาห์ที่แล้ว,match_result,th
Who scored for Manchester United in their latest game,match_result,en
ทีมเรือใบเล่นกับใครเมื่อคืนนี้,match_result,th
แมนยูโดนใบแดงไหมเกมล่าสุด,match_result,th
Did Arsenal draw their last game,match_result,en
นัดที่แล้วปืนใหญ่เสมอกับใคร,match_result,th
What was the final score in last weekend's derby,match_result,en
เมื่อวานผีเจอใคร ผลเท่าไหร่,match_result,th
Did Liverpool concede any goals in their last match,match_result,en
ใครยิงประตูให้แมนซิตี้ในเกมล่าสุด,match_result,th
Who scored the winning goal for Newcastle,match_result,en
ทีมไหนจะเจอกับเวสต์แฮมสุดสัปดาห์นี้,fixture_schedule,th
เกมของเรือใบนัดต่อไปแข่งวันอะไร,fixture_schedule,th
What's the next fixture for West Ham,fixture_schedule,en
What's the schedule for Newcastle this month,fixture_schedule,en
หงส์เตะกับใครต่อ วันไหน,fixture_schedule,th
Who does Liverpool play next,fixture_schedule,en
อาร์เซนอลมีแข่งวันเสาร์นี้ไหม,fixture_schedule,th
